Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Present
Michael Jones,3,Late
William Brown,4,Excused
Susan Williams,5,Excused
David Miller,6,Absent
Mary Johnson,7,Present
Robert Smith,8,Late
Charles Taylor,9,Present
Sarah Jones,10,Late
James Williams,11,Late
Michael Brown,12,Late
Patricia Johnson,13,Present
William Smith,14,Excused
Elizabeth Taylor,15,Excused
Daniel Williams,16,Absent
Joseph Brown,17,Absent
Linda Johnson,18,Absent
Anthony Smith,19,Excused
Barbara Taylor,20,Excused
Steven Williams,21,Absent
Edward Brown,22,Late
Christopher Johnson,23,Late
Matthew Smith,24,Excused
Jennifer Taylor,25,Late
Andrew Williams,26,Present
Brian Brown,27,Excused
Kevin Johnson,28,Excused
David Smith,29,Present
Melissa Taylor,30,Absent
