Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Late
Michael Jones,3,Late
William Brown,4,Late
Susan Williams,5,Absent
David Miller,6,Late
Mary Johnson,7,Excused
Robert Smith,8,Late
Charles Taylor,9,Absent
Sarah Jones,10,Excused
James Williams,11,Excused
Michael Brown,12,Late
Patricia Johnson,13,Excused
William Smith,14,Present
Elizabeth Taylor,15,Late
Daniel Williams,16,Absent
Joseph Brown,17,Late
Linda Johnson,18,Late
Anthony Smith,19,Late
Barbara Taylor,20,Absent
Steven Williams,21,Present
Edward Brown,22,Excused
Christopher Johnson,23,Absent
Matthew Smith,24,Absent
Jennifer Taylor,25,Excused
Andrew Williams,26,Absent
Brian Brown,27,Absent
Kevin Johnson,28,Absent
David Smith,29,Absent
Melissa Taylor,30,Excused
