Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Late
Michael Jones,3,Late
William Brown,4,Late
Susan Williams,5,Absent
David Miller,6,Absent
Mary Johnson,7,Present
Robert Smith,8,Excused
Charles Taylor,9,Late
Sarah Jones,10,Late
James Williams,11,Late
Michael Brown,12,Absent
Patricia Johnson,13,Present
William Smith,14,Absent
Elizabeth Taylor,15,Late
Daniel Williams,16,Excused
Joseph Brown,17,Excused
Linda Johnson,18,Excused
Anthony Smith,19,Absent
Barbara Taylor,20,Present
Steven Williams,21,Absent
Edward Brown,22,Present
Christopher Johnson,23,Excused
Matthew Smith,24,Absent
Jennifer Taylor,25,Absent
Andrew Williams,26,Late
Brian Brown,27,Late
Kevin Johnson,28,Late
David Smith,29,Present
Melissa Taylor,30,Late
