Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Present
Michael Jones,3,Late
William Brown,4,Late
Susan Williams,5,Excused
David Miller,6,Late
Mary Johnson,7,Excused
Robert Smith,8,Excused
Charles Taylor,9,Present
Sarah Jones,10,Present
James Williams,11,Excused
Michael Brown,12,Excused
Patricia Johnson,13,Absent
William Smith,14,Excused
Elizabeth Taylor,15,Absent
Daniel Williams,16,Absent
Joseph Brown,17,Late
Linda Johnson,18,Present
Anthony Smith,19,Present
Barbara Taylor,20,Present
Steven Williams,21,Present
Edward Brown,22,Present
Christopher Johnson,23,Late
Matthew Smith,24,Late
Jennifer Taylor,25,Late
Andrew Williams,26,Absent
Brian Brown,27,Excused
Kevin Johnson,28,Excused
David Smith,29,Present
Melissa Taylor,30,Absent
