Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Absent
William Brown,4,Present
Susan Williams,5,Absent
David Miller,6,Present
Mary Johnson,7,Excused
Robert Smith,8,Late
Charles Taylor,9,Excused
Sarah Jones,10,Excused
James Williams,11,Present
Michael Brown,12,Absent
Patricia Johnson,13,Present
William Smith,14,Absent
Elizabeth Taylor,15,Absent
Daniel Williams,16,Absent
Joseph Brown,17,Excused
Linda Johnson,18,Late
Anthony Smith,19,Present
Barbara Taylor,20,Absent
Steven Williams,21,Excused
Edward Brown,22,Excused
Christopher Johnson,23,Late
Matthew Smith,24,Late
Jennifer Taylor,25,Late
Andrew Williams,26,Absent
Brian Brown,27,Present
Kevin Johnson,28,Late
David Smith,29,Late
Melissa Taylor,30,Late
