Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Excused
Michael Jones,3,Present
William Brown,4,Absent
Susan Williams,5,Present
David Miller,6,Excused
Mary Johnson,7,Late
Robert Smith,8,Late
Charles Taylor,9,Late
Sarah Jones,10,Absent
James Williams,11,Present
Michael Brown,12,Present
Patricia Johnson,13,Late
William Smith,14,Present
Elizabeth Taylor,15,Excused
Daniel Williams,16,Late
Joseph Brown,17,Excused
Linda Johnson,18,Excused
Anthony Smith,19,Absent
Barbara Taylor,20,Late
Steven Williams,21,Absent
Edward Brown,22,Absent
Christopher Johnson,23,Excused
Matthew Smith,24,Present
Jennifer Taylor,25,Excused
Andrew Williams,26,Present
Brian Brown,27,Absent
Kevin Johnson,28,Excused
David Smith,29,Excused
Melissa Taylor,30,Late
