Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Absent
Michael Jones,3,Late
William Brown,4,Absent
Susan Williams,5,Excused
David Miller,6,Excused
Mary Johnson,7,Present
Robert Smith,8,Late
Charles Taylor,9,Absent
Sarah Jones,10,Excused
James Williams,11,Absent
Michael Brown,12,Late
Patricia Johnson,13,Absent
William Smith,14,Excused
Elizabeth Taylor,15,Late
Daniel Williams,16,Late
Joseph Brown,17,Excused
Linda Johnson,18,Absent
Anthony Smith,19,Present
Barbara Taylor,20,Late
Steven Williams,21,Present
Edward Brown,22,Absent
Christopher Johnson,23,Present
Matthew Smith,24,Late
Jennifer Taylor,25,Late
Andrew Williams,26,Present
Brian Brown,27,Late
Kevin Johnson,28,Excused
David Smith,29,Absent
Melissa Taylor,30,Late
