Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Excused
Michael Jones,3,Late
William Brown,4,Late
Susan Williams,5,Late
David Miller,6,Excused
Mary Johnson,7,Late
Robert Smith,8,Present
Charles Taylor,9,Absent
Sarah Jones,10,Excused
James Williams,11,Present
Michael Brown,12,Late
Patricia Johnson,13,Late
William Smith,14,Present
Elizabeth Taylor,15,Present
Daniel Williams,16,Late
Joseph Brown,17,Late
Linda Johnson,18,Present
Anthony Smith,19,Absent
Barbara Taylor,20,Late
Steven Williams,21,Absent
Edward Brown,22,Late
Christopher Johnson,23,Present
Matthew Smith,24,Present
Jennifer Taylor,25,Late
Andrew Williams,26,Excused
Brian Brown,27,Late
Kevin Johnson,28,Excused
David Smith,29,Present
Melissa Taylor,30,Present
